epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.208,1.28307,3.62942,1.23209,0.03298,0.43104,0.18903,0.1273,0.95483,3.70339,0.97661,0.0001,0.0001,0.0001
2,212.35,1.00982,2.61127,1.07432,0.07095,0.54433,0.25345,0.17037,0.95773,3.40682,0.95007,0.000205842,0.000205842,0.000205842
3,308.54,0.95704,1.96737,1.03193,0.85065,0.22354,0.33237,0.25805,0.92759,3.0092,0.94025,0.000307328,0.000307328,0.000307328
4,402.605,0.91414,1.64024,1.0049,0.88404,0.24819,0.46852,0.36283,0.90865,2.68243,0.92052,0.000404458,0.000404458,0.000404458
5,495.172,0.90108,1.36086,0.98849,0.95024,0.24753,0.51486,0.39202,0.92771,2.32061,0.97107,0.000497232,0.000497232,0.000497232
6,585.124,0.84914,1.1838,0.97834,0.79773,0.46534,0.71738,0.52938,0.92766,1.82479,0.94121,0.00058565,0.00058565,0.00058565
7,683.244,0.79395,1.08048,0.9575,0.8618,0.59344,0.80589,0.60831,0.80401,1.50967,0.88675,0.000669712,0.000669712,0.000669712
8,793.035,0.77797,0.98517,0.95137,0.84679,0.63555,0.89045,0.66219,0.82068,1.44497,0.89171,0.000749418,0.000749418,0.000749418
9,910.669,0.78006,0.93156,0.93678,0.73331,0.7615,0.88951,0.6655,0.7919,1.19943,0.88293,0.000824768,0.000824768,0.000824768
10,1009.04,0.76725,0.88097,0.92405,0.7937,0.82334,0.92161,0.6994,0.78593,1.16705,0.87017,0.0008218,0.0008218,0.0008218
11,1106.3,0.79037,0.83856,0.91856,0.85446,0.8659,0.95563,0.73314,0.75094,0.99677,0.86317,0.000802,0.000802,0.000802
12,1200.36,0.73879,0.81839,0.91634,0.87149,0.85612,0.95114,0.71958,0.78536,0.92505,0.86589,0.0007822,0.0007822,0.0007822
13,1299.45,0.7408,0.7798,0.91648,0.85243,0.8515,0.95103,0.7431,0.73339,0.96719,0.86334,0.0007624,0.0007624,0.0007624
14,1400.13,0.7137,0.76045,0.90739,0.90439,0.92828,0.98292,0.77932,0.70462,0.84565,0.84303,0.0007426,0.0007426,0.0007426
15,1497.22,0.67514,0.73423,0.89062,0.88992,0.97494,0.98119,0.77501,0.68785,0.75583,0.83697,0.0007228,0.0007228,0.0007228
16,1594.74,0.67577,0.69295,0.89779,0.8366,0.89952,0.95164,0.74514,0.71267,0.85235,0.85114,0.000703,0.000703,0.000703
17,1687.58,0.67517,0.69764,0.89339,0.88001,0.9478,0.98236,0.78418,0.67953,0.76723,0.84689,0.0006832,0.0006832,0.0006832
18,1783.03,0.67318,0.6882,0.89965,0.91917,0.92965,0.9858,0.78666,0.71718,0.63119,0.84596,0.0006634,0.0006634,0.0006634
19,1881.31,0.68961,0.68016,0.88493,0.93914,0.98384,0.9912,0.7893,0.69301,0.63925,0.82959,0.0006436,0.0006436,0.0006436
20,1986.81,0.68944,0.68474,0.88935,0.92854,0.95645,0.98801,0.78883,0.68089,0.63164,0.82335,0.0006238,0.0006238,0.0006238
21,2104.24,0.67569,0.68185,0.88677,0.89009,0.92214,0.98606,0.78394,0.70269,0.6509,0.83396,0.000604,0.000604,0.000604
22,2208.62,0.66699,0.65324,0.89208,0.93514,0.96545,0.98836,0.79051,0.66692,0.59813,0.82037,0.0005842,0.0005842,0.0005842
23,2306.69,0.64411,0.63854,0.88153,0.97149,0.98401,0.98941,0.80343,0.65164,0.58957,0.81954,0.0005644,0.0005644,0.0005644
24,2405.87,0.63932,0.61988,0.8841,0.9294,0.97224,0.98674,0.79609,0.65383,0.62591,0.82775,0.0005446,0.0005446,0.0005446
25,2497.82,0.64084,0.60405,0.88496,0.9066,0.94313,0.98785,0.79264,0.64532,0.61171,0.8263,0.0005248,0.0005248,0.0005248
26,2596.23,0.63475,0.61705,0.88837,0.95422,0.95482,0.98897,0.80374,0.65889,0.57794,0.81745,0.000505,0.000505,0.000505
27,2689.67,0.61952,0.57621,0.87092,0.95269,0.96419,0.98808,0.79219,0.63496,0.58293,0.81614,0.0004852,0.0004852,0.0004852
28,2790.55,0.61648,0.58186,0.86695,0.95956,0.92958,0.98666,0.79125,0.64221,0.568,0.81954,0.0004654,0.0004654,0.0004654
29,2890.48,0.61323,0.57187,0.87284,0.94166,0.98482,0.99177,0.80834,0.61964,0.52137,0.81698,0.0004456,0.0004456,0.0004456
30,2990.25,0.60108,0.55181,0.86934,0.96495,0.98981,0.99214,0.80997,0.62821,0.533,0.8157,0.0004258,0.0004258,0.0004258
31,3087.31,0.5923,0.55376,0.87412,0.96951,0.99313,0.99377,0.82128,0.62174,0.52513,0.81539,0.000406,0.000406,0.000406
32,3182.49,0.58469,0.53582,0.86702,0.97502,0.98683,0.99403,0.80808,0.62191,0.51425,0.82146,0.0003862,0.0003862,0.0003862
33,3279.14,0.58351,0.52963,0.8634,0.96373,0.98376,0.99273,0.8091,0.60875,0.51269,0.81903,0.0003664,0.0003664,0.0003664
34,3375.89,0.58808,0.52255,0.86088,0.949,0.98156,0.98646,0.80837,0.62055,0.49605,0.81541,0.0003466,0.0003466,0.0003466
35,3476.05,0.60005,0.5267,0.8644,0.95116,0.97299,0.98457,0.80515,0.60642,0.5004,0.81034,0.0003268,0.0003268,0.0003268
36,3575.75,0.58384,0.52219,0.8638,0.96872,0.98731,0.99379,0.80168,0.61766,0.50036,0.81073,0.000307,0.000307,0.000307
37,3673.66,0.58677,0.51747,0.86818,0.96299,0.9943,0.99428,0.80166,0.61658,0.4978,0.81534,0.0002872,0.0002872,0.0002872
38,3772.03,0.57407,0.51373,0.86407,0.96618,0.99405,0.99455,0.81018,0.59117,0.46785,0.80453,0.0002674,0.0002674,0.0002674
39,3872.35,0.57158,0.51763,0.86491,0.97453,0.99896,0.99465,0.82035,0.59218,0.45848,0.80535,0.0002476,0.0002476,0.0002476
40,3973.71,0.56501,0.50327,0.86555,0.96902,0.99173,0.99444,0.817,0.59273,0.46865,0.80919,0.0002278,0.0002278,0.0002278
41,4068.12,0.56744,0.57467,0.84519,0.96894,0.9985,0.99414,0.81787,0.60986,0.52281,0.80931,0.000208,0.000208,0.000208
42,4163.85,0.59106,0.58546,0.852,0.97184,0.99102,0.99346,0.81535,0.62799,0.56595,0.81352,0.0001882,0.0001882,0.0001882
43,4260.74,0.56881,0.53021,0.84557,0.97265,0.97209,0.99395,0.81821,0.60102,0.47975,0.8083,0.0001684,0.0001684,0.0001684
44,4356.22,0.56485,0.51258,0.83386,0.97405,0.99924,0.99368,0.81992,0.58894,0.47835,0.80334,0.0001486,0.0001486,0.0001486
45,4445.31,0.55846,0.51924,0.83005,0.96887,1,0.99382,0.82151,0.58825,0.47199,0.80144,0.0001288,0.0001288,0.0001288
46,4539.94,0.55268,0.49369,0.8228,0.97016,1,0.994,0.81451,0.59663,0.46886,0.80636,0.000109,0.000109,0.000109
47,4636.2,0.54175,0.49141,0.83579,0.9715,0.99618,0.99434,0.82693,0.57532,0.46328,0.80514,8.92e-05,8.92e-05,8.92e-05
48,4742.22,0.53693,0.48336,0.82955,0.97249,1,0.99439,0.82771,0.5763,0.45474,0.80365,6.94e-05,6.94e-05,6.94e-05
49,4842.9,0.54369,0.48534,0.83154,0.97123,1,0.99439,0.83016,0.57836,0.45384,0.80374,4.96e-05,4.96e-05,4.96e-05
50,4936.53,0.53262,0.48077,0.82797,0.97141,1,0.99413,0.82884,0.57828,0.45337,0.80376,2.98e-05,2.98e-05,2.98e-05
